customer_name,tenure_months,monthly_charge,contract_type,support_calls,churn
Customer 0,7,91.32,one-year,1,1
Customer 1,55,73.14,two-year,0,0
Customer 2,47,66.83,month-to-month,3,0
Customer 3,32,49.29,month-to-month,3,1
Customer 4,31,36.51,one-year,4,1
Customer 5,61,60.27,one-year,1,0
Customer 6,7,68.92,two-year,0,1
Customer 7,50,105.36,one-year,5,1
Customer 8,15,72.61,two-year,0,1
Customer 9,7,89.65,one-year,1,1
Customer 10,38,60.01,month-to-month,1,0
Customer 11,70,46.3,month-to-month,2,0
Customer 12,53,50.7,two-year,3,0
Customer 13,55,55.5,month-to-month,3,0
Customer 14,51,112.57,two-year,2,0
Customer 15,56,53.57,month-to-month,1,0
Customer 16,37,86.77,month-to-month,0,1
Customer 17,10,51.94,month-to-month,2,1
Customer 18,60,88.63,one-year,2,0
Customer 19,32,77.7,one-year,0,1
Customer 20,36,66.87,two-year,4,1
Customer 21,27,69.18,one-year,2,1
Customer 22,13,56.9,one-year,1,1
Customer 23,66,78.92,one-year,0,0
Customer 24,56,60.9,two-year,0,0
Customer 25,46,45.49,one-year,2,1
Customer 26,29,44.44,month-to-month,3,1
Customer 27,59,73.45,one-year,2,0
Customer 28,39,101.58,two-year,2,0
Customer 29,32,73.2,month-to-month,3,1
Customer 30,32,67.63,two-year,1,0
Customer 31,17,75.72,one-year,0,0
Customer 32,7,96.12,one-year,2,1
Customer 33,40,74.39,month-to-month,3,0
Customer 34,64,61.78,two-year,5,1
Customer 35,5,92.13,month-to-month,1,1
Customer 36,61,78.58,month-to-month,3,1
Customer 37,59,100.72,one-year,0,0
Customer 38,20,73.66,one-year,1,1
Customer 39,45,45.51,one-year,0,0
Customer 40,12,42.64,month-to-month,1,1
Customer 41,54,103.02,month-to-month,2,0
Customer 42,50,104.47,month-to-month,0,1
Customer 43,26,66.41,one-year,0,1
Customer 44,5,62.34,one-year,1,0
Customer 45,69,99.23,one-year,1,0
Customer 46,32,47.86,one-year,1,0
Customer 47,64,52.11,two-year,1,0
Customer 48,49,82.87,one-year,0,0
Customer 49,56,62.11,one-year,1,0
Customer 50,54,69.9,one-year,2,1
Customer 51,14,66.73,one-year,3,1
Customer 52,26,76.75,one-year,1,0
Customer 53,34,98.15,month-to-month,2,1
Customer 54,36,71.81,month-to-month,2,1
Customer 55,4,82.88,two-year,2,0
Customer 56,39,29.0,one-year,0,0
Customer 57,11,69.03,one-year,0,1
Customer 58,53,53.14,month-to-month,1,0
Customer 59,49,45.62,one-year,0,0
Customer 60,66,52.44,one-year,0,0
Customer 61,53,63.32,one-year,0,0
Customer 62,27,88.32,one-year,1,1
Customer 63,69,43.47,one-year,3,0
Customer 64,30,70.61,two-year,2,1
Customer 65,24,60.32,one-year,2,0
Customer 66,65,63.45,two-year,4,1
Customer 67,27,90.06,two-year,2,1
Customer 68,6,80.76,one-year,1,1
Customer 69,34,96.75,two-year,1,1
Customer 70,57,66.91,month-to-month,0,0
Customer 71,14,56.08,two-year,0,1
Customer 72,33,65.52,two-year,1,0
Customer 73,10,74.85,one-year,0,1
Customer 74,49,73.53,two-year,3,0
Customer 75,34,48.31,one-year,2,0
Customer 76,24,71.81,month-to-month,0,1
Customer 77,17,74.56,two-year,1,1
Customer 78,41,120.35,month-to-month,2,1
Customer 79,48,107.54,month-to-month,0,0
Customer 80,67,52.94,one-year,2,0
Customer 81,32,64.25,two-year,4,1
Customer 82,12,40.73,one-year,0,1
Customer 83,60,58.19,one-year,1,0
Customer 84,45,76.31,month-to-month,2,1
Customer 85,50,94.12,month-to-month,1,1
Customer 86,7,55.42,month-to-month,1,1
Customer 87,23,56.92,month-to-month,2,1
Customer 88,55,27.05,two-year,3,0
Customer 89,60,66.75,two-year,2,0
Customer 90,31,48.75,two-year,0,0
Customer 91,58,59.41,month-to-month,2,0
Customer 92,60,52.46,month-to-month,0,0
Customer 93,28,68.11,month-to-month,3,1
Customer 94,64,34.85,one-year,1,0
Customer 95,21,40.66,one-year,0,0
Customer 96,18,112.58,one-year,2,1
Customer 97,49,44.25,month-to-month,3,1
Customer 98,46,48.06,two-year,3,1
Customer 99,10,106.74,month-to-month,1,1
Customer 100,60,128.1,month-to-month,3,1
Customer 101,15,46.57,two-year,0,0
Customer 102,58,62.64,two-year,1,0
Customer 103,1,76.83,month-to-month,4,1
Customer 104,57,104.57,one-year,1,0
Customer 105,56,50.26,two-year,2,0
Customer 106,56,65.09,two-year,2,0
Customer 107,48,85.55,two-year,1,0
Customer 108,34,78.7,one-year,0,0
Customer 109,51,62.48,one-year,0,0
Customer 110,20,67.32,two-year,2,1
Customer 111,56,42.5,month-to-month,1,0
Customer 112,40,65.24,month-to-month,2,1
Customer 113,33,64.67,one-year,0,0
Customer 114,36,74.64,two-year,0,1
Customer 115,41,58.89,month-to-month,2,0
Customer 116,3,79.43,one-year,0,1
Customer 117,10,90.25,one-year,3,1
Customer 118,18,73.11,one-year,0,1
Customer 119,9,77.04,two-year,1,1
Customer 120,32,71.06,month-to-month,6,1
Customer 121,48,70.0,two-year,0,0
Customer 122,47,55.57,one-year,1,0
Customer 123,34,76.33,two-year,0,0
Customer 124,61,68.05,one-year,3,0
Customer 125,41,111.86,month-to-month,1,1
Customer 126,6,101.47,two-year,3,1
Customer 127,55,77.72,two-year,1,1
Customer 128,41,54.74,month-to-month,2,0
Customer 129,46,47.75,two-year,1,1
Customer 130,41,93.82,two-year,1,1
Customer 131,40,75.25,one-year,2,1
Customer 132,7,79.6,two-year,1,1
Customer 133,40,35.11,one-year,1,0
Customer 134,57,88.55,one-year,3,0
Customer 135,22,79.09,month-to-month,1,1
Customer 136,43,47.79,two-year,0,0
Customer 137,3,60.57,month-to-month,4,1
Customer 138,25,75.27,two-year,2,0
Customer 139,32,71.05,one-year,0,0
Customer 140,70,64.16,one-year,0,0
Customer 141,16,67.93,month-to-month,3,1
Customer 142,20,64.96,two-year,1,1
Customer 143,30,73.05,month-to-month,1,1
Customer 144,71,99.43,one-year,0,0
Customer 145,61,18.67,two-year,2,0
Customer 146,3,65.26,two-year,1,1
Customer 147,17,73.53,two-year,1,1
Customer 148,59,75.92,two-year,4,0
Customer 149,5,62.56,one-year,2,1
Customer 150,61,34.87,month-to-month,2,1
Customer 151,20,76.56,two-year,2,1
Customer 152,66,104.55,two-year,3,0
Customer 153,21,39.32,two-year,2,1
Customer 154,31,87.28,one-year,1,1
Customer 155,47,63.43,month-to-month,0,0
Customer 156,9,68.77,one-year,3,1
Customer 157,40,48.94,one-year,2,1
Customer 158,36,63.31,two-year,3,0
Customer 159,56,96.0,one-year,0,0
Customer 160,71,81.65,month-to-month,2,0
Customer 161,48,104.65,month-to-month,4,1
Customer 162,30,93.55,two-year,1,1
Customer 163,29,78.78,two-year,3,1
Customer 164,30,104.88,month-to-month,2,1
Customer 165,58,78.78,one-year,3,0
Customer 166,23,86.56,one-year,1,0
Customer 167,12,64.07,one-year,0,1
Customer 168,24,71.33,two-year,0,0
Customer 169,2,56.05,month-to-month,3,1
Customer 170,8,89.79,month-to-month,1,1
Customer 171,7,46.43,month-to-month,2,1
Customer 172,55,85.65,month-to-month,1,0
Customer 173,52,66.19,two-year,1,0
Customer 174,50,93.42,two-year,1,0
Customer 175,33,85.02,month-to-month,1,1
Customer 176,51,106.41,one-year,3,1
Customer 177,12,84.62,month-to-month,1,0
Customer 178,64,38.56,month-to-month,2,0
Customer 179,36,68.66,month-to-month,1,1
Customer 180,67,46.56,month-to-month,2,0
Customer 181,11,59.63,one-year,3,1
Customer 182,36,100.22,two-year,2,1
Customer 183,50,82.75,one-year,1,1
Customer 184,36,56.02,two-year,7,0
Customer 185,32,49.73,one-year,1,0
Customer 186,12,70.66,month-to-month,1,1
Customer 187,28,45.67,month-to-month,1,0
Customer 188,17,56.58,month-to-month,1,1
Customer 189,22,76.24,month-to-month,2,1
Customer 190,49,93.11,two-year,0,0
Customer 191,45,82.18,two-year,3,0
Customer 192,44,24.17,two-year,1,0
Customer 193,26,76.09,one-year,2,1
Customer 194,69,71.44,one-year,0,0
Customer 195,7,78.28,one-year,4,1
Customer 196,25,102.32,one-year,0,1
Customer 197,9,28.74,two-year,1,1
Customer 198,25,58.18,two-year,2,0
Customer 199,69,81.82,two-year,1,0
Customer 200,27,38.37,one-year,2,1
Customer 201,65,99.52,month-to-month,5,1
Customer 202,36,77.37,two-year,3,1
Customer 203,50,86.93,one-year,1,1
Customer 204,33,58.58,two-year,2,0
Customer 205,19,86.28,one-year,3,1
Customer 206,55,91.37,two-year,4,0
Customer 207,69,74.66,one-year,1,0
Customer 208,19,74.69,two-year,0,0
Customer 209,56,75.41,two-year,1,0
Customer 210,19,52.73,month-to-month,0,1
Customer 211,51,67.05,one-year,0,0
Customer 212,57,66.95,one-year,2,0
Customer 213,32,77.67,two-year,2,1
Customer 214,53,90.0,two-year,0,0
Customer 215,20,48.83,two-year,4,1
Customer 216,6,67.5,one-year,2,1
