sqft,bedrooms,age_years,neighborhood,price
3807,2,24,C,606254.43
2687,2,29,C,436855.67
2894,1,53,C,421180.27
3640,1,43,A,531643.46
2524,5,23,C,421778.05
3214,2,17,B,530466.86
3417,1,56,B,470256.46
1288,1,19,B,219599.4
694,2,16,B,115963.67
1550,2,26,C,271105.51
1497,2,68,C,210381.14
3557,5,36,A,571268.76
3694,5,47,C,568005.81
518,3,6,A,104041.13
2249,5,27,B,404637.59
3374,2,60,B,524408.68
960,1,61,C,135474.98
3289,2,46,A,493297.41
916,1,70,B,101992.89
2137,5,23,A,363145.15
3357,2,13,C,532586.45
1560,3,6,B,273739.18
1695,2,15,C,281343.12
1474,5,61,C,233772.86
3018,1,72,A,443705.89
1392,3,10,C,247219.9
3966,5,40,C,654258.43
2057,3,10,C,375551.0
2173,5,67,C,350395.16
2265,5,10,C,383255.41
2538,4,51,C,406225.27
2437,4,6,C,405435.68
2283,3,59,A,345813.49
3984,3,72,C,604720.25
3326,5,58,C,514250.43
3274,3,21,C,533691.6
2950,5,67,C,467441.27
2677,5,24,C,453300.12
1693,2,60,B,257205.9
3961,3,66,A,594241.18
2131,4,38,A,338430.61
1253,5,49,A,219890.86
3457,1,68,A,504318.59
1060,1,14,C,183508.52
3501,2,1,C,560583.52
2643,3,34,A,403015.4
901,1,14,B,157156.82
653,3,70,C,86807.09
2056,3,69,C,308652.84
624,5,30,B,134184.7
995,4,24,C,158120.9
2302,2,56,A,354672.61
3895,4,36,C,620514.75
2131,5,7,C,373779.64
3329,4,53,B,518485.24
3710,4,58,A,573895.95
3382,2,5,A,526151.91
2702,4,62,B,422254.49
2044,1,42,A,305310.82
2299,4,66,A,365225.28
1431,5,68,A,222587.96
2239,5,53,C,372883.85
1827,2,26,B,299198.28
1366,2,29,B,224276.56
3976,4,57,B,613311.93
541,2,5,C,122935.1
840,4,18,A,144030.97
1173,2,41,A,198356.8
3891,1,75,B,577795.56
2922,1,60,C,440550.64
3586,3,65,B,555149.69
1202,2,15,C,198995.33
3023,2,22,C,474558.1
1793,5,21,B,328005.87
2211,5,59,C,368609.59
513,5,42,C,119050.69
2661,3,16,A,412435.2
3405,1,59,B,517318.31
2822,4,51,A,467342.06
1040,4,71,B,187645.07
2368,5,44,A,396708.17
1436,3,10,C,231034.82
3877,1,71,A,588188.17
3581,3,14,C,571941.18
1151,3,4,C,176662.21
2284,4,63,B,368758.11
3789,2,36,B,563967.42
3465,2,51,C,510803.39
2977,1,10,B,460025.62
2739,5,57,A,461438.87
647,4,32,A,127487.32
3096,3,79,B,472964.87
2157,2,50,B,360769.52
820,4,75,C,161410.45
1355,3,63,A,214199.7
2394,4,67,A,373977.18
3043,1,7,C,462036.94
2277,1,62,C,328133.13
2645,4,48,C,431130.38
3549,1,31,A,550785.96
2901,4,24,B,476803.57
1764,3,51,C,298022.02
2751,1,15,C,421564.48
2593,4,14,B,433108.85
878,4,69,B,160168.64
707,5,60,B,144812.19
2810,5,47,A,474064.19
1856,4,60,C,306355.31
2594,5,25,B,431958.96
1630,1,57,B,249432.88
1289,5,16,C,230311.07
1025,5,35,C,171658.11
1835,4,11,C,330460.08
3357,5,30,A,547722.9
1903,4,27,C,328576.14
1828,5,33,B,292234.73
2513,5,38,B,412473.29
3925,3,2,B,622752.14
1872,5,27,A,314336.82
2564,5,67,C,377274.77
2038,2,34,B,319676.9
2617,1,43,A,412509.56
2059,1,8,C,338564.97
2732,1,31,B,413285.8
2415,3,77,A,367526.86
2867,1,43,B,447902.0
3848,2,1,A,571293.73
1027,2,57,B,159681.95
2465,4,61,C,399398.0
2041,2,30,A,337381.93
1752,5,2,C,347310.95
1338,1,66,B,212725.69
682,5,20,A,156988.44
1908,3,73,A,298229.64
3391,2,29,A,541954.18
838,1,30,A,130610.1
1921,2,63,A,292047.18
3887,3,11,C,635143.59
3830,1,2,B,630861.68
1252,1,60,A,183410.99
526,1,74,C,69173.99
2851,4,79,B,443127.2
549,1,10,C,125498.06
1551,1,11,C,254695.3
2239,3,27,C,388390.39
3559,2,57,C,526850.14
824,3,72,A,128809.46
2817,5,66,B,446577.52
2365,5,29,B,412047.59
960,3,73,C,167178.91
3459,4,20,A,538208.33
3457,5,9,B,560323.24
2189,3,34,C,360402.79
3807,4,7,B,609669.6
2624,2,54,A,379763.58
3663,4,79,C,577527.2
3862,2,8,B,618709.55
2494,1,9,C,404997.66
1482,4,14,B,260168.31
1009,3,14,B,203784.08
2469,2,42,B,381750.6
1173,1,45,B,197896.53
3125,2,76,A,453075.02
3747,5,35,B,591737.97
1359,3,74,A,213919.95
2433,5,60,B,384415.02
672,5,68,A,136931.77
1131,5,15,C,226051.32
1820,1,36,C,269155.43
3594,1,73,B,531692.98
3893,3,60,B,592680.83
2745,2,17,B,452987.49
2542,5,67,A,398311.71
2493,2,61,C,372862.4
712,1,11,C,147468.55
1817,1,5,B,331628.9
3941,2,20,A,647135.13
1938,4,37,B,325148.35
1246,1,12,A,212182.82
1338,4,2,C,274701.88
2996,2,8,C,479533.48
633,2,25,B,103804.76
3892,4,31,B,622053.13
3566,5,24,C,589672.75
2486,3,35,A,386962.76
2137,4,57,C,319356.53
3165,2,19,C,479699.06
2416,1,36,B,382381.44
2170,5,58,C,345124.35
1627,4,4,C,291929.79
2063,4,75,C,327138.38
3129,5,79,A,499137.11
692,3,23,C,131276.46
588,1,71,B,88180.74
3021,3,20,C,473799.1
1802,3,73,C,272374.29
3313,2,52,A,491583.77
606,4,19,B,150376.51
3675,2,4,B,584843.75
930,4,31,B,164910.39
1955,4,59,C,310464.42
3885,1,18,B,598424.07
879,3,41,C,165857.8
2802,4,9,C,443865.46
3047,1,33,A,452991.91
1998,4,2,B,345028.39
776,5,78,B,175384.59
2333,5,40,B,404285.18
2016,4,67,A,319228.22
3554,5,9,A,599279.99
2887,2,13,B,493411.54
1704,2,14,A,281093.84
703,1,45,B,105453.8
2566,4,68,A,421079.15
1478,2,48,A,241112.63
2892,5,38,B,484870.0
3523,3,75,B,527326.66
1743,5,14,C,343313.05
3661,1,13,B,596293.86
2316,1,53,B,357389.22
2357,2,68,A,365814.35
3178,1,21,B,463791.09
3261,3,20,C,532715.65
3682,4,42,B,580388.37
3997,4,62,A,627058.59
1028,2,22,B,189436.89
1944,1,65,C,281980.62
3766,3,41,C,563042.77
1576,4,56,A,265918.12
518,5,50,C,101579.25
2516,5,38,C,413447.09
3135,2,42,B,476182.35
3100,1,79,B,448376.39
3336,2,31,A,486257.19
2753,5,75,A,453704.21
978,3,63,C,163000.19
3464,5,14,A,589270.99
1966,4,69,B,342097.63
3465,3,30,C,549088.9
3353,1,14,C,496913.46
3896,3,20,A,604991.7
549,2,10,A,95246.43
3531,5,27,A,568621.88
2699,1,9,C,429544.72
2198,1,43,A,306167.19
3275,4,78,A,509387.13
3832,4,77,B,565644.65
2295,5,75,B,371210.48
806,3,19,A,153757.63
3040,2,18,A,478295.53
