date,sales
2023-01-01,88.44
2023-01-02,107.3
2023-01-03,118.86
2023-01-04,113.58
2023-01-05,107.03
2023-01-06,93.37
2023-01-07,91.24
2023-01-08,91.51
2023-01-09,107.75
2023-01-10,107.01
2023-01-11,127.48
2023-01-12,111.55
2023-01-13,102.92
2023-01-14,91.23
2023-01-15,93.41
2023-01-16,109.85
2023-01-17,123.89
2023-01-18,122.15
2023-01-19,114.79
2023-01-20,106.47
2023-01-21,91.07
2023-01-22,91.25
2023-01-23,113.03
2023-01-24,119.93
2023-01-25,117.08
2023-01-26,115.0
2023-01-27,104.22
2023-01-28,92.98
2023-01-29,94.88
2023-01-30,114.76
2023-01-31,131.29
2023-02-01,129.04
2023-02-02,118.87
2023-02-03,112.0
2023-02-04,106.05
2023-02-05,104.36
2023-02-06,120.81
2023-02-07,135.53
2023-02-08,132.68
2023-02-09,122.04
2023-02-10,115.33
2023-02-11,107.22
2023-02-12,114.87
2023-02-13,115.19
2023-02-14,130.53
2023-02-15,133.05
2023-02-16,120.95
2023-02-17,117.74
2023-02-18,112.14
2023-02-19,109.2
2023-02-20,132.05
2023-02-21,141.47
2023-02-22,143.89
2023-02-23,135.15
2023-02-24,125.41
2023-02-25,106.35
2023-02-26,119.48
2023-02-27,131.66
2023-02-28,132.03
2023-03-01,146.01
2023-03-02,135.41
2023-03-03,128.05
2023-03-04,114.34
2023-03-05,119.84
2023-03-06,133.88
2023-03-07,140.01
2023-03-08,150.78
2023-03-09,139.65
2023-03-10,130.13
2023-03-11,117.44
2023-03-12,128.88
2023-03-13,138.7
2023-03-14,147.02
2023-03-15,154.47
2023-03-16,149.99
2023-03-17,140.14
2023-03-18,115.7
2023-03-19,131.38
2023-03-20,141.52
2023-03-21,150.96
2023-03-22,149.79
2023-03-23,153.5
2023-03-24,128.39
2023-03-25,129.92
2023-03-26,136.99
2023-03-27,134.72
2023-03-28,153.43
2023-03-29,151.8
2023-03-30,151.95
2023-03-31,145.79
2023-04-01,140.72
2023-04-02,125.11
2023-04-03,143.36
2023-04-04,161.98
2023-04-05,169.76
2023-04-06,156.35
2023-04-07,138.0
2023-04-08,135.61
2023-04-09,137.44
2023-04-10,148.73
2023-04-11,158.31
2023-04-12,167.31
2023-04-13,159.3
2023-04-14,144.79
2023-04-15,136.53
2023-04-16,134.61
2023-04-17,150.84
2023-04-18,171.53
2023-04-19,167.94
2023-04-20,154.08
2023-04-21,155.44
2023-04-22,143.81
2023-04-23,155.09
2023-04-24,157.1
2023-04-25,166.71
2023-04-26,165.17
2023-04-27,171.42
2023-04-28,165.13
2023-04-29,140.57
2023-04-30,144.84
2023-05-01,163.28
2023-05-02,168.38
2023-05-03,174.58
2023-05-04,166.57
2023-05-05,156.76
2023-05-06,153.66
2023-05-07,151.7
2023-05-08,168.41
2023-05-09,173.95
2023-05-10,181.09
2023-05-11,161.14
2023-05-12,152.07
2023-05-13,155.69
2023-05-14,152.16
2023-05-15,170.24
2023-05-16,182.28
2023-05-17,189.58
2023-05-18,179.41
2023-05-19,167.92
2023-05-20,154.67
2023-05-21,155.13
2023-05-22,167.2
2023-05-23,180.64
2023-05-24,180.83
2023-05-25,176.13
2023-05-26,165.89
2023-05-27,160.0
2023-05-28,160.45
2023-05-29,164.75
2023-05-30,186.24
2023-05-31,191.13
2023-06-01,187.81
2023-06-02,172.76
2023-06-03,159.04
2023-06-04,162.04
2023-06-05,187.94
2023-06-06,193.9
2023-06-07,202.68
2023-06-08,196.55
2023-06-09,169.3
2023-06-10,167.7
2023-06-11,171.47
2023-06-12,184.21
2023-06-13,196.35
2023-06-14,198.05
2023-06-15,190.29
2023-06-16,169.4
2023-06-17,168.47
2023-06-18,168.96
2023-06-19,185.56
2023-06-20,194.82
2023-06-21,203.65
2023-06-22,197.04
2023-06-23,181.97
2023-06-24,174.39
2023-06-25,176.68
2023-06-26,186.2
2023-06-27,199.85
2023-06-28,201.59
2023-06-29,198.4
2023-06-30,184.01
2023-07-01,179.24
2023-07-02,173.09
2023-07-03,196.4
2023-07-04,200.38
2023-07-05,203.92
2023-07-06,198.99
2023-07-07,184.64
2023-07-08,181.3
2023-07-09,180.38
2023-07-10,190.13
2023-07-11,203.48
2023-07-12,217.67
2023-07-13,203.71
2023-07-14,185.14
2023-07-15,183.41
2023-07-16,178.99
2023-07-17,207.94
2023-07-18,203.6
2023-07-19,217.02
