date,sales
2023-01-01,97.63
2023-01-02,95.91
2023-01-03,105.84
2023-01-04,108.27
2023-01-05,107.12
2023-01-06,111.17
2023-01-07,117.21
2023-01-08,117.28
2023-01-09,118.23
2023-01-10,120.18
2023-01-11,117.54
2023-01-12,125.04
2023-01-13,119.22
2023-01-14,125.18
2023-01-15,126.88
2023-01-16,125.02
2023-01-17,131.88
2023-01-18,139.16
2023-01-19,135.22
2023-01-20,134.63
2023-01-21,140.0
2023-01-22,144.84
2023-01-23,144.87
2023-01-24,146.3
2023-01-25,144.09
2023-01-26,151.84
2023-01-27,153.81
2023-01-28,158.39
2023-01-29,160.84
2023-01-30,160.46
2023-01-31,155.48
2023-02-01,158.11
2023-02-02,161.14
2023-02-03,167.33
2023-02-04,166.09
2023-02-05,174.4
2023-02-06,173.21
2023-02-07,175.59
2023-02-08,178.76
2023-02-09,179.54
2023-02-10,176.31
2023-02-11,189.91
2023-02-12,188.95
2023-02-13,191.15
2023-02-14,186.35
2023-02-15,185.06
2023-02-16,188.1
2023-02-17,191.47
2023-02-18,199.29
2023-02-19,201.36
2023-02-20,205.05
2023-02-21,209.11
2023-02-22,206.26
2023-02-23,207.78
2023-02-24,207.64
2023-02-25,209.73
2023-02-26,209.28
2023-02-27,216.3
2023-02-28,217.73
2023-03-01,217.58
2023-03-02,218.37
2023-03-03,224.19
2023-03-04,228.75
2023-03-05,227.09
2023-03-06,229.71
2023-03-07,229.23
2023-03-08,232.14
2023-03-09,233.95
2023-03-10,236.06
2023-03-11,237.13
2023-03-12,242.13
2023-03-13,246.85
2023-03-14,242.12
2023-03-15,251.18
2023-03-16,247.78
2023-03-17,249.91
2023-03-18,246.55
2023-03-19,247.77
2023-03-20,259.25
2023-03-21,255.79
2023-03-22,263.49
2023-03-23,263.24
2023-03-24,265.85
2023-03-25,271.11
2023-03-26,268.91
2023-03-27,261.34
2023-03-28,267.94
2023-03-29,278.09
2023-03-30,283.17
2023-03-31,278.91
2023-04-01,279.1
2023-04-02,279.04
2023-04-03,286.87
2023-04-04,281.85
2023-04-05,285.52
2023-04-06,291.68
2023-04-07,293.59
2023-04-08,294.53
2023-04-09,300.51
2023-04-10,295.6
2023-04-11,297.77
2023-04-12,302.1
2023-04-13,305.56
2023-04-14,306.37
2023-04-15,315.37
2023-04-16,309.6
2023-04-17,315.33
2023-04-18,313.68
2023-04-19,318.41
2023-04-20,318.13
2023-04-21,320.3
2023-04-22,328.36
2023-04-23,324.49
2023-04-24,332.67
2023-04-25,327.31
2023-04-26,330.14
2023-04-27,336.89
2023-04-28,328.13
2023-04-29,332.56
2023-04-30,339.65
2023-05-01,343.04
2023-05-02,345.34
2023-05-03,344.66
2023-05-04,343.32
2023-05-05,352.17
2023-05-06,353.02
2023-05-07,350.27
2023-05-08,355.96
2023-05-09,363.18
2023-05-10,360.1
2023-05-11,358.14
2023-05-12,362.46
2023-05-13,364.65
2023-05-14,368.82
2023-05-15,372.54
2023-05-16,368.96
2023-05-17,371.84
2023-05-18,378.93
2023-05-19,380.09
2023-05-20,383.98
2023-05-21,377.42
2023-05-22,380.97
2023-05-23,388.96
2023-05-24,385.01
2023-05-25,390.91
2023-05-26,391.77
2023-05-27,391.67
2023-05-28,400.43
2023-05-29,397.93
2023-05-30,398.44
